,0
370,"I have only been there once.  Lines are long, not enough seating.  Most likely won't go there again unless the party I'm with insists."
371,Get there earlier in the day to make sure you get the burnt ends because they are amazing! Nothing on the menu has ever left me disappointed. The BBQ brisket burger is my favorite (sorry I can't think of what it's called!) but I also...More
372,"WE had heard a lot about the Black Dog, some good some bad some indifferent, so we decided to try it, our mistake!
If you want average fare for a not great price, then thi is for you, but me I prefr a better BBQ...More"
373,"This place has awesome Barbecue.  Didn't get a chance to try the burnt tips, but next time I am in town I will.  Staff was friendly, place was jammed. Beer was good too."
374,"If you want to eat there on a weekend, it's best to get there early (before 5 pm) and still be prepared to wait in line.  The food is worth it, and once you get seated (we had a 40 minute wait on a Saturday),...More"
375,"Best BBQ in town.  The wait is long sometimes but it is worth it.  No reservations and your entire group has to be there for you to get your table.  If you have a big group (6 or more), you should go at a nonpeak...More"
376,"The food here is awesome.  I enjoyed the smoked catfish,  rib tips,  Texas caviar,  black dog cornbread (with corn and smoked meat in the mix) and everything was very tasty.  The staff and drinks are also awesome.  Though the place was so busy sometimes I...More"
377,"Black Dog has good smoked food wide varity of BBQ sauces get there early to get reservations in or  it can be long wait, alot of U of I students go there so you know it's got to be good. There is outdoor seating for...More"
378,This place is the real deal get there early and try to get the burnt ends it will change your life everything appears to be made from scratch
379,"This is a hip little BBQ joint, and so much more. Great menu items not just your typical BBQ menu. I came on a Tuesday and the special was tacos, and they were some of the best tacos of any type I have ever had....More"
380,"As a former Texan with friends who BBQ for a living, I can't believe people stand in line for this average stuff.  Sure, it's OK, but there is better BBQ out there.  If long lines, trendy people, average BBQ, and a small cramped dining area...More"
381,"I are here with my son before a Fighting Illini basketball game. I love pulled pork and  brisket and have eaten them throughout the United States including BBQ locations in St Louis, Alabama, Mississippi Georgia etc. it was the best pulled pork and brisket I...More"
382,very hard to get in. my friends sandwhich was all fat and chewy. He shouldh ave complained because it was unedible.quantity and quality has declined
383,"I'll start by saying this.  Black Dog has some of the best tasting Barbeque I have ever had in my life.  Not ""for central IL""..... That I've ever had.  Good bbq, brisquit, ribs, pork belly, are my favorite foods.  Texas, Georgia, Kansas City all have...More"
384,"We waited an hour for a table. It was worth every minute. The place was small and packed for good reason. The food was outstanding. This was definitely the best barbecue I have ever enjoyed. While the meat was all spot on, all the sides...More"
385,"I haven't spent as much time in Champaign-Urbana as I used to, when I was a student at the University of Illinois, when I worked at the Champaign-Urbana Courier, when I was member of my fraternity's board of directors, when I attend football and basketball...More"
386,"We live within walking distance to Black Dog. Sometimes it's so busy we can't get in, but when we do we love the smoked catfish and salmon. Wait staff is great at suggesting different BBQ sauces to try. They have daily specials  and some things...More"
387,I had a burnt end sandwich!!! Yum!  My husband had wings.  You can chose one of the 7 or 8 Barbeque sauces for your food.  They range from sweet and tangy to hot and spicy.  Good bar too!  Place can be very busy so we...More
388,"I like Black Dog because of the quality of each item, but you will pay more.  For lunch, I recommend the burnt ends if you can get them before they run out. The platter comes with a choice of two sides, nice variety of choices;...More"
389,Black Dog Smoke and Ale House is the best! I had the burnt ends and they are to die for. I also have had the polish. I am not a fan of polish but this one had me wanting each and every bite. It has...More
390,"Ordered take out on a Friday afternoon. Smoked Chicken Wings and combo platter. Wings were a replacement for burnt ends. They had sold out of burnt ends, so if you want to try them you have to arrive early. Wings, catfish, and ribs all very...More"
391,"waiting in line is worth the wait... trust!!
waiting in line is worth the wait... trust!!
waiting in line is worth the wait... trust!!"
392,"because we ate it all-although from a European point of view, this was A LOT of food. It's the best barbeque I've ever had. Very tender, succulent meat and great sweet potato fries. The straff was friendly and attentive despite being busy. 
Busy and crammed...More"
393,"Have eaten at this hidden in Urbana gem of a restaurant several times despite the ridiculously long lines and can only say it's right up there with some of the best BBQ food I've ever had.  Been to Kansas City several times, eaten at several...More"
394,"BBQ places are always subject to great subjectivity.  I like lots of sauce, and a nice smokey, sweet flavor.  Black Dog is a little cramped, and almost always busy.  But give it a try.  You'll like the good service and the little extras that are...More"
395,"This restaurant has landed in the Top 5 ratings for barbecue in the U.S. for a reason.  The food is outstanding, prices are good, the service very good and the ambience...is busy. Really.  Really. Busy.  Game day?  Fahgeddaboudit.

So, unless you like it that way,...More"
396,"When Black Dog first came out, it was incredibly impressive. The BBQ was smoky, tender and affordable with a distinct menu of limited items that were done well. The place was always packed, even during normal down times on weekdays. 

Now the menu is expanded...More"
397,"The locals swear by this restaurant. It is always busy but people are willing to wait. We stopped for s business lunch at 2 pm between client visits and they were full, so we sat at the bar (full menu available there too). Good meat...More"
398,"We waited 35 mins for a table on the 22nd but it was a taste worth waiting for overall. The experience would have been better for myself if they started selling chilli. *drools* It was myself, husband, father and aunt. We all had fun. They...More"
399,Outstanding bbq and the sides are great too!  Couple that with an extensive beer selection and you got a reason to get there early.  Seating is tight.  Go with a small party and you stand a better chance of having a short wait.  Worth the...More
400,"Got there about 1130. Waited about 20 minutes for a table and was greeted by a really good server. He was a male with black goatee.  Ordered and good was lighting fast had the pick two, brisket and catfish. Excellent!  

The beans were awesome. I...More"
401,"The rib tips are so good, don't even BBQ sauce!! Very small building. Can't hold a table until everyone in party is present."
402,"My husband and I came across this ale house during the Urbana sweet corn festival and WOW what a great find.  It is very difficult to get a table unless you are early so you can stand outside and have a cocktail while waiting.
The...More"
403,"This place is FLAME!! The rib tips are the best I have ever had, not to mention the burnt ends with some Carolina Red BBQ sauce on the side, you'd think you are in heaven. The Cuban is also a must have! & when they...More"
404,I don't think there is a bad item on the menu.  And with Black Dog Smoke and Ale House opening a new location in downtown Champaign .  It will be another reason to visit downtown Champaign.
405,"Great spicy BBQ sauce, burnt ends are really tasty- go for them, if available.
Nice portions, especially sweet potato fries, and nice bar scene."
406,"A restaurant I can go again and again and again. Also I like the atmosphere there! I always have polish sausage, twice baked potato casserole, and cream soda."
407,"Luckily we live 8 blocks from the Black Dog, so when I get my BBQ craving we can head right down the street. We just got back from Mississippi and there was no Barbeque as good anywhere to be found. The Black Dog is world...More"
408,The smokers are working overtime here.  All of the meat is fall off the bone and there is a wide selection of different barbeque sauces to accompany sandwiches.  The sides are creative and different than I've had before.  The cornbread and potato salad both have...More
409,"This place does a wonderful job of smoking meats.  I had the lunch platter with smoked catfish, ribs, beans, and slaw; with Texas caviar and cornbread (with smoked meat bits inside).  The fish was perfectly moist (and smokey); the ribs were great and served with...More"
410,"Had the pulled pork sandwich. Amazing! 
The wait staff was very helpful on beer selections and did a great job! I would come back again!!"
411,"We had lunch at the Black Dog in the afternoon on a busy Saturday. We waited about 45 minutes for a table, but we expected a wait since the restaurant is very small. We tried their ribs, chicken, and brisket plus a burger and many...More"
412,"As you can see this restaurant had a lot of reviews, a lot of good reviews, and that's a problem. There are so many people who want to come here and try it out that you really do wait an hour while you stand outside....More"
413,Was it the best BBQ I have ever had? No! Was it good? Yes it was. I had a combination plate of ribs and brisket. They missed the mark on the brisket; it was tender but dried and lacked a true smoke ring. Their ribs...More
414,We visited the Black Dog at noon on a Saturday so the hour + wait was to be expected.  This was our first time here.  Once we got inside it's easy to see why the wait was so long.  The restaurant is tiny.  Very little...More
415,Stopped by to eat based on all the good reviews.  We were not disappointed.  A few members of the group ordered the pulled pork sandwich and thought it would have been better with the coleslaw on the side instead of on the actually sandwich.  I...More
416,Deliciousness!  So in a huge college town you will have to get there early or wait a long time to be seated. But this little joint cranks out the best BBQ this side of the Mason Dixon line! From fall off the bone ribs to...More
417,"Terrific food.  By far some of the best BBQ I have ever had.  Definitely even better than some of the BBQ I have had in the Southwest US.  The corn bread is delicious.  Just beware, it is small and super busy."
418,"This is a good place. You are gonna eat good meat with nice sides and sauces. However, I've heard stories about this place being one of the best BBQ places in Illinois/mid-west/US(?), which I find overstated. His reputation is cause of a continuous flux of...More"
419,A must stop to eat-- this place is AMAZING!! Great staff-- super friendly-- great food- I have never ordered anything terrible here!! Everyone who lives in this area loves the Black Dog--- u must try their BQ--- awesome-nothing bad to ever say about this place!!...More
420,The old Black Dog has gone to glory! The new revised dog is almost the same but not.  The lines and the wait for a table are just as long as before. The surroundings are the same it is the food that has changed.  The...More
421,"If you love smoked meat, this place won't disappoint. Great people, a small local business, Black Dog is one of the best when it comes to BBQ. Certainly a place to visit when you're in Urbana."
422,I ordered smoked pork belly.  It was outstanding.  They usually only have it on Sundays.  First time I've ever ordered it and it won't be the last.  What a taste!!  It was with sweet Carolina sauce but you can get a tray of different sauces...More
423,"Two of us went here on a weekday around lunch hour and had about a 20 minute wait for a table.  A little cramped in the waiting area, but once we got a table, the food was certainly delicious.  Service was a bit slow.  Cornbread...More"
424,We hit Champaign right around lunch time on our way to St Louis. Though it was a bit away from I57 the detour was worth it. The wait list moved pretty well and we were seated at the bar. It's a pretty small place. This...More
425,"Went on a recommendation and was told to expect to wait, which we did at 5:15. The staff was nice and they keep the people moving through. Tried a combo of ribs, pulled pork and smoked turkey. Really enjoyed the ribs, flavorful and tender. The...More"
426,Excellent ribs!  Amazing brisket and pulled pork. Great beer selection. Cool place!  Good music!  We accidentally found black dog while driving through town. So glad we did!  Our only regret is that we live so far away. If we are ever in the area again...More
427,"I have been from KC to St Louis to Memphis to Dallas and this is some of the best BBQ around. The sauces are terrific, the beer selection is great, and the service is good but they are very busy. Make the time ro eat...More"
428,This place slow smokes and uses a dry rub making this one of the best rib places I've ever been to.  Certainly the best ribs in Champaign/Urbana.  Great side choices including cole slaw and sweet potato fries.  Highly recommended.  Expect a long wait as the...More
429,Black dog has great food. The wait can be quite long if crowded. It is important to have your entire party present-otherwise they will not seat you. The food is definitely worth the wait!
430,"I stopped for lunch while driving through Champaign-Urbana.  Very good choice.  I had the burnt tips for a starter and beef brisket for an entree.  Both were excellent.  Their smoker knows what he/she is doing with the meat.  Sauces were good accompaniment as well, but...More"
431,We stopped here for lunch on a Friday and there was a line out the door waiting for tables. We decided to get our food to go. We ordered the brisket sandwich with macaroni and cheese and cole slaw. It was a good amount of...More
432,"Wow, this was good BBQ.  I had a combo plate with Ribs and Brisket with their signature ""medium"" sauce.  I was very impressed.  The brisket was smoked perfectly and the sauce just made it ""pow"".  The ribs were also just perfect.  They stayed on the...More"
433,"Although I am not a barbecue fan, this restaurant won me over.  The beer menu, which changes daily was very deep, including some proprietary smoked beers( terrific).  The chicken was amazing (the meat fell off the bone),the salad  local, organic, and the smoked baked sweet...More"
434,"Good BBQ, whether you like Carolina, KC or Memphis style. This is a great BBQ joint with a good wait staff. They have tons of sauce options to satisfy your palate. And the meat was tender and well prepared. The sides also are good. And...More"
435,"The BBQ and great beer and whiskey selection, all at down to earth prices, in a convivial atmosphere are all great reasons to eat at the Black Dog. It is sure to bring a smile to your face!"
436,"Fantastic restaurant. Great service, food and atmosphere. Nothing fancy...just good bbq food. We would definitely eat here again if we are in the area.  Good for everyone but if you have kids and go right at supper time be prepared to have something to keep...More"
437,"Love the menu. Excellent burnt ends, pulled pork and corn bread. They have a very large selection of whiskey and bourbons and beer"
438,"I went to Black Dog right after they opened for the first time. It was the worst meal I've ever had in my life. After a few years, we decided to try it again, and were disappointed again. The food was better this time, but...More"
439,"Our party of three was returning from a trip, driving through Illinois, and we used our cell phone to scour for BBQ, and did we ever hit a home run at Black Dog Smoke & Ale House in Urbana! I consider myself  a BBQ expert,...More"
440,"I hit Black Dog on the rave recommendations of several friends.  They speak the truth.  Black Dog is the bomb.*

When you show up, you'll notice the place is packed.  Walk up to the slab of paper, grab a sharpie and write your name down....More"
441,"This is, very simple, the best BBQ I have found in the Midwest.  Recently we had the ribs, pulled pork, catfish, sweet potato fries, pit beans, corn bread and sweet tea.  It was all delicious.  Every single item, every single bite.  

The burnt ends are...More"
442,Excellent BBQ and corn bread in a very casual  setting. Staff was wonderful.Small place so get there early or expect to wait.
443,Some of the best BBQ I have ever eaten.  The sauce servings are a little small for the fries but the taste makes up for it.  I would recommend the baked beans as a side dish.  You cant go wrong with the pork or brisket....More
444,"I ate here for the first time this month; beef brisket sandwich and  bbq beans. Heaven. The beans were actually firm, attesting they were  cooked on the premises; best ever. The place is small, with a full bar, seating maybe 40, very neat and well...More"
445,"hands down, this is one of the finest, best bbq smokehouse establishments in the country. this place is absolutely necessary if you are in the area, or even in the relative area. be sure to go by 11am or 5pm if you want the burnt...More"
446,Recent trip to Univ. of Illinois to check out housing options for daughter entering the Vet Med College.  I did a quick search for local restaurant and discovered this as a strong candidate for a decent meal.  Then we heard from all my daughter's school...More
447,"I like this place, but there is almost always a line, they don't take reservations, and it could be stressful to wait there with a young child or two.  The food is excellent, well prepared, consistent - but not cookie cutter.  You know that it...More"
448,"The place is not huge and seating is limited -go early and with no more than 6 people. One meal was a combo - 1/4 slab (3 bones) of ribs and burnt ends with  ""Pit Beans"" (pinto) and sweet potato fries. We're use to Kansas...More"
449,If one is looking for delicious BBQ then this the place. Great service and  good ambiance. A must for BBQ lovers.
450,Perhaps the best barbeque I've ever had. Really enjoyed the burnt ends both as an appetizer and a sandwich. The chicken wing appetizer was great. The variety of sauces offered was a treat. The server had a killer Afro. I won't ever visit this town...More
451,"I start by saying my ribs and brisket are as good as the Black Dog's, but I don't have to make a profit. But among profit making places, I have had no better BBQ. It is GREAT!

First, this place serves spare ribs! Not baby...More"
452,Get there when they open or slightly before...burnt ends are to die for..sweet potato fries have a wonderful sweet flavor profile... Cajun sandwich is very tasty..with aeoli sauce...wish they would move to Fort Wayne
453,Hats off to the pit master that smokes the meat for this establishment!  Fantastic!  Probably one of the top 5 places for smoked brisket and pulled pork that we have ever had.  The unique smoked potato salad and homemade coleslaw with a little kick was...More
454,"Regardless of the time, you will wait to be seated.  The decor is nothing to speak of.   But the food and service is so darned good it is impossible not to give the Black Dog a 5 star rating. The barbeque lives up to the...More"
455,"Lines usually run relatively quick, about 20-30 minutes. If you have a party bigger than 4 it'll definitely be longer, also you should just order take out.

Food is amazing! Anything you order you will be on point but, Items you MUST have(or at least...More"
456,"Black Dog is probably the best BBQ I've ever had.  

Positives:
+The meats are all tender and flavorful, not requiring sauce, but the sauces are good enough you'll want to.  Favorites are the pulled pork, brisket, and of course burnt ends.
+Sides: haven't had bad...More"
457,"We've been to Black Dog many times. The key to going here is to go early because the wait can get very long, and there isn't really anyplace to stand while waiting. Having said that, the cornbread is absolutely wonderful. It's almost a meal by...More"
458,"Good food?  Fast service?  Unique local restaurant?  Yep, yep, and yep.
There's a reason why it's so popular. Fast service too.  Last week, I was stuffing my face within 3 minutes of ordering.  Personal favorite?  Burnt end sandwich with vinegar sauce.  The sweet potato fries...More"
459,I do take out cause I don't like to wait.  It's crowded...that's a good sign.  Meat is tender and tasty
460,"I really enjoy this place, both for the beer and the food. Very good selections of beer and great atmosphere. I highly recommend the Black Dog to any visitor who loves barbecue."
461,"Can't go there in the evening: it's too crowded.  Can't go at lunch, unless arriving by 11:15; 11:30 at the latest.  But when seated and served, the food is very good and the service is very good and friendly."
462,"ribs is always a must-order item here. Although I still prefer the ribs in St Louis, I would still go to Black Dog because it's near. Also, don't forget to get the cornbread!"
463,I can safely say that the 45minute wait is worth it for this restaurant. It is the best BBQ I have ever had in my life. I had the Pork sandwich and it was amazing.
464,"Went there this past saturday.  Had the ""must have"" burnt ends & cornbread as appetizers.   Nothing special about the burnt ends IMO other than they weren't dried out like the other pork offerings I would have.  Cornbread was very good though. Because this place is...More"
465,We briefly stopped here on our way to Springfield. The restaurant was easy to find and had plenty of parking. We were seated within 10 minutes of arriving and got to taste a couple of the beers on tap before making a selection (great perk)....More
466,"I visited Champaign-Urbana recently and visited Black Dog twice for BBQ.  Since it is very small and seems to always be crowded, we got carryout on both visits.  The pulled chicken sandwiches were excellent with the Georgia Peach BBQ sauce and cole slaw on them....More"
467,"Tried this place because of all the hype. Well, I was disappointed. Had about a 15min wait. Had the spare ribs and they did have good smoke flavor and rub but they were not tender enough to be classified as great ribs. The meat was...More"
468,There is always a crowd and waiting time at this place but the food is well worth the wait! I really like the smoked catfish and smoked duck. I find out of all the BBQ restaurants that I have eaten at Black Dog's meat is...More
469,Such a great BBQ place. I always get the pulled pork with Georgia peach sauce. If you can get there in time for the burnt ends you won't be sorry. It's a small place and your whole party needs to be there before you sit...More
470,Get there early. Amazing bbq. Twice baked potato casserole and pit beans are not to be missed. If you want the burnt ends (you do) you might want to go at noon.
471,The ribs and chicken are great.  The cornbread is not to be missed.  It is one of the best BBQ places I have ever eaten...and I have been to many.  Better than Blue Smoke in NYC!
472,"You don't expect to find a world-class BBQ place in central Illinois, but that's exactly what Black Dog is.  In addition to excellent food, the service is top-notch and the drink selection is tremendous.  I've been to many of the famous BBQ joints in the...More"
473,"Best BBQ/Smoked food in the area.  Great beers on tap.  Opens at 1130 and is immediately full until mid afternoon.  Fills up at 5ish until late.  So go early, mid afternoon or late (or when students are gone) for a great time.  Best bet if...More"
474,"The food is good, but not really worth waiting 45 minutes for.  I have never been there when i didn't have to wait."
475,I recently visited the Black Dog and found the BBQ inedible.  The flavor of the meat was so overpowered by the smoking that it almost was like drinking a bottle of liquid smoke.  Yes the meat was tender but I could not enjoy any other...More
476,"I visited this place with my son on recommendation, tried their burned out sandwich. The meat is so tender that you can pretty much swallow it without chewing. The staff was great, they provided knowledgeable recommendation. Did not rush you out as you are done...More"
477,"We went on a Friday afternoon around 430p, we had to wait about 5 mins, was seated at the bar. The food was great, it came very fast. we had chicken and the pulled pork platter. This is a small place so you might want...More"
478,Black Dog gives you something like you've never had.  Outstanding in areas.  I could go on and on about all the different food here but just try it for yourself.  And get the wing appetizer to start!
479,"if you gor for lunch do not go between noon -1:00 unless you want to wait a long time.the seating is very limited. the food is excellent. 
I get bbq sancwhich with the baked casserole dish and cole slaw on the side. beers are quite...More"
480,"I've been here several times and have had excellent food and excellent service every time. The BBQ just can't be beat. If you arrive early, you must try the burnt ends. I've always had the BBQ till last week when I tried the Texas burger...More"
481,"We stopped at the Black Dog with some friends in the middle of a Saturday afternoon. This is a very small restaurant, so does not take many customers to fill the tables and make others wait. Amazing, every table was occupied in the middle of...More"
482,You know its a good place when the waitress tells you up front what they are already out of before you order.  Get there early if you want to make sure your favorite BBQ option is still being served.  Great selection of beers.  I had...More
483,"These guys offer a really friendly and welcoming night out. 

The BBQ is exceptional and the ribs to die for. The Hot Georgia Peach Sauce fantastic and the starters included Smoked Almonds and Texas Caviar, both really good. There is a great choice of beers...More"
484,Had the briskett and chicken COMBO. The twice baked potato's were scrumptous. The BBQ had a spice kick...very good. The sweet potato fries were good too.Not a good for dieters!  My wife is on a diet hot spicey vegetables and a salad...She was a good...More
485,"Excellent Smoke house. A good beer selection, the smoked pork corn bread was amazing. Ended up getting the Cuban sandwich(the special of the day) great sandwich. Wanted burnt ends but you got to get there early for those.  Once they are out their out, a...More"
486,"Okay, so we read reviews of this joint rating the BBQ excellent, best ever, I died and went to heaven, ranked #2 in the US by Fox-something for BBQ and decided to venture off our course from St. Louis to Indy to visit Urbana IL...More"
487,"The food was good,however it was hard to enjoy with everyone that was waiting to be seating elbowing me in the back my whole meal. Waitress was not very friendly and not wanting to help out the situation. They have a huge line a beer...More"
488,We took our grandson and his friend for early dinner and waited about 30 minutes to be seated since reservations are not taken.  I had the bbq brisket and pulled pork (excellent).  We also had the burnt ends as an appetizer (delicious); definitely order these....More
489,"Found this place on TripAdvisor in the first place, so glad we made the effort.  Came in about 5 pm on a Tuesday, no problem getting a table.  We chose a little bar with 2 stools that is behind the last booth in the place...More"
490,"There is always a wait at this place, but it is always worth it. You can order a drink from the bar while you wait and watch the game in the meantime. Choose your meat, sauce, and sides and try to get your hands on...More"
491,"Try to go early or late...great beer tastings!!  Love the burnt ends, sweet potato fries. Its worth the wait and parking not a problem."
492,"I want to start by saying I don't normally like BBQ foods, but we were visiting our son, a student at U of I, and he insisted.  We waited outside and looked through the window now and then to see our wait status.  After about...More"
493,"The food, and service were great once you get seated. It's a fun and lively place. You have to decide if you want to stand outside and wait for a hour and a half. They let you bring drinks outside which we did and it...More"
494,We went to Black Dog on Friday 9/27 about 5:30pm and the wait was about 30-40 minutes.  It was nice outside so after we put our name on the “list” we got a beer and enjoyed the beautiful night while waiting outside for our name...More
495,Burnt tips were delicious.  The pork ribs which were ok but nothing special. Next time I will try the pulled pork sandwich which looked delicious. Skip the french fries and opt for the pit beans and the twice baked potato casserole. Service was excellent!
496,"BBQ was good, but I didn't like the baked beans.  It was crowded so we had to sit at the bar which was not comfortable for me.  I really had much higher expectations after looking at their rating.  So basically, I was disappointed."
497,"Food was awesome, my corn bread appetizer was a little over cooked, coming from the south corn bread is supposed to be a little like cake at times. I was stuffed however. Great local dive. Go early if u want seating and burnt ends they...More"
498,"I come from Kansas City where you cannot throw a stone without hitting a BBQ place.  So I do have high expectations for any BBQ outside of KC.  I have been here before, and still have not gotten there early enough to try their burn...More"
499,"Must get the burnt ends! Absolutely delicious and tender! The restaurant had very tasty pulled pork, but I found the brisket better. Great beer selection. Knowledgeable staff. I ordered a pumpkin beer that was light, not too malty, and tasted like autumn in a glass....More"
500,"What can I say that hasn't already been said about the BBQ here? The food is amazing, there's no denying that. Great food, great service, but I won't eat in their restaurant.

The reason I gave it 4 out of 5 is purely based on...More"
501,"If you are in the Urbana area you need to give this a try. It's a small place but worth the wait. Ribs and brisket are awesome, the corn bread is wonderful and the beer selection is good. If you like BBQ this is a...More"
502,"If you are near downtown Urbana, you must stop in at Black Dog.  They have, by far, the best BBQ in the twin cities, hands down.  The only down side is the place is REALLY small, so you almost always have to wait for a...More"
503,"After a host of visits to the Black Dog in recent years while on vacations, I've concluded it offers some of the finest barbecue to be found in America. The restaurant is located in a city that's becoming one of the hippest, most artistic destinations...More"
504,"All the Q is great, but the smoked pork belly special is particularly good. They also serve a special of beets and goat cheese which is to die for. I couldn't help but notice the earlier review from St. Louis - the meat and sauce...More"
505,"Hungry? This is the place to go. Meat lover? Smoked and with choice of original sauces ala cart? Super great food with fun presentation on baker's trays. STANDING ROOM ONLY and no reservations accepted. Food priced in mid teens for big platters, burgers under $10....More"
506,"First of all, the barbecue at Black Dog is not all it's cracked up to be.  I am from St. Louis and I know what barbecue is supposed to taste like--Black Dog's house sauce is sour and contains too much vinegar.  Second, for whatever reason,...More"
507,"How did I go so long without trying this?  One of my new favorites.  Be prepared...small, long wait, close tables, bar a little hard to eat at.  But food is all worth it.  Lots of food, but start with their chips and salsa.  The chips...More"
508,"What a gem to have this in Urbana, IL. It's always packed, be prepared for a wait. The reason it's packed.....it's really, really good. Head up to the bar, get a beer and wait. It's worth it.

Get there early in the evening if you...More"
509,food was over cooked - staff was rude and there are planty other places to eat in chamapign.  customer service is not in their agenda
510,"Many aspects to comment re Black Dog:
- First, this restaurant/bar is quite small
- It is for adults... not kids
- we love the unique ""college"" town ambiance and approach .. e.g., you sign in on a white board when you arrive to set...More"
511,"A reviewer ""J Richard H"" compained that they had run out of ribs, and suggested they  
buy some from the grocery store. While I reviewed them earlier, I must comment. 

Well, I do believe that they must buy their pork from some special commercial supplier....More"
512,"We are in the tennis business and were attending the NCAA finals in Champaign-Urbana.
My daughter and I had heard of the Black Dog's ribs through a friend and decided to try it.  As expected on a Friday, we waited about 30 minutes for a...More"
513,"Excellent food, service and total overall experience.  Only negative thing I could add is the fact that we always have to wait to get a table, however I might add that the wait is TOTALLY worth it!!!"
514,"Stopped in on Saturday afternoon. Was about a 30 minute wait to get seated for 1. Very small and busy. Seated at bar, ordered 2 meat plate with brisket and pulled pork with sides of slaw and sweet potato fries. Both meats were top notch...More"
515,"well worth the wait. good choices, great taste. can get packed, but it is worth it. take the time to visit, you won't be disappointed."
516,I had taken my family which by the way is not family friend at ALL in fact they're not very customer friendly after 7:00 maybe they work to hard. The food at that time of the day runs out in fact no famous rib tips...More
517,Had to stop here after reading the Maxim review. Absolutely agree that you should not miss this local treasure.We stopped by once when it was crazy busy at 6:30 on a Monday night aand decided to postpone until 4:00 the next day. It was perfect....More
518,"Black Dog Smoke & Ale House is a hole in the wall that I frequented for years when it was Tod & John's.  The place still has the beautiful back bar, but the aromas are completely different.  The smell of smoked meats permeates the air....More"
519,"Stopped here while traveling through on the recommendation of some friends.  The food was good, and it was busy as many have commented.  It smells like a BBQ place, if you don't like that - you may not want to eat it :)

Now with...More"
520,"First things first, to me there is nothing like eating out where the owner developed his menus, his recipes and people have fallen in love with his food. The food was fabulous, the wait worth it, but it was a beautiful day to hang out...More"
521,"Black Dog has a limited menu because everything they make is top notch, brisket, ribs, catfish, pulled pork, beans, sweet potato fries, you can't go wrong with any of them. What is not limited is the ever-changing beer menu. From IPA to Milk Stout, you'll...More"
522,"Great chicken with peach barbque sauce.  Comes in two different heats.  There individual potatoes are yummy and the salsa with hominy is unexpected.  We dont  drink, but the flights of beer come on a doggy bone shsped tray.  Never have had a problem with service,...More"
523,"Never again.   Just not worth the stress.  Dining out is suppose to be a relaxing experience.  My night out was nothing near that!  We were there on a busy University weekend, so I understand the crowds.  However, the crowd control was less than perfect.  We...More"
524,"We dined here on a Monday evening and was surprised at how crowded it was.  We didn't wait too long for a table, but the folks coming in after us were probably looking at a much longer wait.  Our server was very nice and efficient,...More"
525,"Fantastic eatery!  Try the rib tips or burnt ends.  If you're going there for lunch, make sure you're there by 11:00am, as they fill up fast.  Not a large place, but incredible food."
526,"This place was so good!  We came before 5pm, as the place is very small and has limited seating.  
We shared cornbread, ribs and burnt ends.  All were excellent.  The burnt ends were just something I've never had before.  Great flavor and tasty!
The beer...More"
527,"Although there is always generally a wait, and if you want their delicious Burnt Ends you have to come early in the evening, Black Dog is well worth it. Nearly everything you order at Black Dog is excellent. The southern-style smoky greatness of their BBQ...More"
528,"If you can get the burnt ends sandwhich, I highly recommend it!! If you happen to be someone who isnt into spicy bbq, I also recommend getting your sauce on the side!!  It has always been super packed when I am there so be prepared...More"
529,"The burnt ends if you can get them, the corn bread is out of this world.  Everything on the menu is good - except for the fish tacos and they are probably good too I just wont eat them"
530,"First off, the meat is smoked to perfection!! Has the smoked wings- yum not dry or tough or greasy at all! I was able to try a special side they were offering it was a smoked beat salad- yum!!! There's lot of BBQ places around...More"
531,"We saw this on TA, and were forewarned about the wait, but wanted to experience an Urbana restaurant. We were not disappointed.  The pulled pork sandwiches were delicious, and the cornbread and potato casserole were equally scrumptious.  We arrived at 2:30, and were seated about...More"
532,"Stopped in on a Wednesday at noon expecting a 30min wait, but luckily walked in and got seats at the bar!   Food was fast hot and delicious!!  Burnt ends, pulled pork, and ribs were amazing!!   We wil be back!!!"
533,"My wife and I had heard so much good about this place, so we wanted to give it a try. We heard it was really small and fills up quick. Understatement of the century. We got there at 4:30 on a Sat night, and there...More"
534,"eaten here numerous times, and every single time its been great. no complaints, best bbq in the area. can be crowded so be ready to wait since they dont take reservations."
535,"I'm from Texas (Ft. Worth) and am a BBQ chauvinist. Black Dof has the best BBQ beef brisquet, best pork ribs, and best pork rib tips I have ever had. Their meat quality is in a higher league that anybody else in town, in fact,...More"
536,"Visited on a Sunday, they open at 11:00 a.m. & we didn't get there until around 11:45 so naturally all seating was full and we had to wait for the 2nd turn of the tables & bar seating. We had about a 45-minute wait with...More"
537,"This former bar space is the best barbecue in town. It's a no fuss kinda place. Nice environment with a good looking bar and some flat screen TVs, but it's all about the good. The dishes come out on metal plates and paper, but the...More"
538,Worth the wait. Sat at the bar and could see all the meals going out. Everything looked good. Bar atmosphere. Will definitely recommend to others.
539,"I had heard the hype that this was THE place to get BBQ in C-U. I was very disappointed. The food wasn't bad, just not the jaw-dropping treat that I was expecting. I ordered the 3 meat combo with brisket, ribs and burnt ends. The...More"
540,This place is a must visit if in the area.  The burnt ends sandwich is spectacular and combined with one of their many wonderful beers makes for a memorable experience.  You will know that this place is a local legend by the people that stop...More
541,"Being named Urbana's best anything is faint praise, so clearly we'll have to come up with a better title for this restaurant, which is loud, fun, delicious and crowded with hungry rib-lovers and beer-drinkers."
